segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
283,N-232A,Standard,False,25.2,1.0,2,2,2,0,0,0.1285,300
284,N-240,Standard,False,93.2,1.0,2,2,2,0,0,0.1275,300
285,N-240,Standard,False,154.9,1.0,2,2,2,0,0,0.1225,300
286,N-240,Standard,True,516.9,1.0,4,4,4,0,0,0.1205,600
287,N-240,Standard,False,67.4,1.0,2,2,2,0,0,0.1335,300
288,N-240,Standard,False,250.0,1.0,2,2,2,0,0,0.1215,300
289,N-240,Standard,False,250.0,1.0,2,2,2,0,0,0.129,300
290,N-240A,Standard,False,3.6,1.0,2,2,2,0,0,0.131,300
291,N-240A,Standard,False,294.6,1.0,2,2,2,0,0,0.117,300
292,N-240R,Standard,False,245.9,1.0,2,2,2,0,0,0.12,300
293,N-240R,Standard,False,245.9,1.0,2,2,2,0,0,0.1265,300
294,N-240R,Standard,False,245.9,1.0,2,2,2,0,0,0.142,300
295,N-240R,Standard,False,245.9,1.0,2,2,2,0,0,0.119,300
296,N-240R,Standard,False,245.9,1.0,2,2,2,0,0,0.129,300
297,N-260,Standard,False,297.0,1.0,2,2,2,0,0,0.1185,300
298,N-260,Standard,False,338.3,1.0,2,2,2,0,0,0.1285,300
299,N-260,Standard,False,14.7,1.0,2,2,2,0,0,0.125,300
300,N-260,Standard,False,311.5,1.0,2,2,2,0,0,0.13,300
301,N-260,Standard,False,207.5,1.0,2,2,2,0,0,0.1275,300
302,N-260,Standard,True,244.6,1.0,4,4,4,0,0,0.1235,600
303,N-260,Standard,False,223.6,1.0,2,2,2,0,0,0.1175,300
304,N-260,Standard,False,150.5,1.0,2,2,2,0,0,0.1215,300
305,N-260,Standard,False,80.6,1.0,2,2,2,0,0,0.12,300
306,N-260A,Standard,False,1.4,1.0,2,2,2,0,0,0.1215,300
307,N-260A,Standard,False,2.9,1.0,2,2,2,0,0,0.117,300
308,N-260A,Standard,False,3.7,1.0,2,2,2,0,0,0.145,300
309,N-260A,Standard,False,3.3,1.0,2,2,2,0,0,0.12,300
310,N-260A,Standard,False,102.9,1.0,2,2,2,0,0,0.1165,300
311,N-260R,Standard,True,128.9,1.0,4,4,4,0,0,0.122,600
312,N-2A,Standard,False,580.5,1.0,2,2,2,0,0,0.143,300
313,N-2A,Standard,False,497.3,1.0,2,2,2,0,0,0.1175,300
314,N-2A,Standard,False,877.0,1.0,2,2,3,0,1,0.1245,300
315,N-2A,Standard,False,497.3,1.0,2,2,2,0,0,0.1265,300
316,N-2A,Standard,False,1.6,1.0,2,2,2,0,0,0.1265,300
317,N-2A,Standard,False,414.0,1.0,2,2,2,0,0,0.1225,300
318,N-2R,Standard,False,25.0,1.0,2,2,2,0,0,0.128,300
319,N-2R,Standard,False,23.8,1.0,2,2,2,0,0,0.126,300
320,N-2R,Standard,False,23.8,1.0,2,2,2,0,0,0.1225,300
321,N-2R,Standard,False,20.8,1.0,2,2,2,0,0,0.1175,300
322,N-301,Standard,False,143.0,1.0,2,2,2,0,0,0.1285,300
323,N-301,Standard,False,42.6,1.0,2,2,2,0,0,0.1235,300
324,N-301,Standard,False,9.5,1.0,2,2,2,0,0,0.125,300
325,N-301,Standard,False,146.2,1.0,2,2,2,0,0,0.129,300
326,N-301,Standard,False,29.1,1.0,2,2,2,0,0,0.129,300
