location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,source,connection_distance_km,available_capacity_mw,is_tent,tent_tier,nearest_substation_id,estimated_demand_kw,fixed_cost_eur,candidate_id
STAV2_0131,43.36351897732001,-5.959817000071183,A-63R,2,Moderate,Viesgo,high_imd,14.544257001169568,1.39,False,none,BAIÑA,300,300000.0,CAND_01557
STAV2_0132,43.405964,-5.789971,A-66,4,Congested,Viesgo,upgrade,3.980782367705291,0.0,True,comprehensive,SIERO,600,50000.0,CAND_00751
STAV2_0133,42.44583972680236,-4.394428678759137,A-67,4,Congested,Viesgo,high_imd,4.57163520300962,0.12,True,comprehensive,OSORNO,600,200000.0,CAND_01576
STAV2_0134,43.31885,-4.068469,A-67,4,Congested,Viesgo,upgrade,2.041680960102666,0.64,True,comprehensive,TANOS,600,50000.0,CAND_01161
STAV2_0135,43.33336044771351,-4.327272285875591,A-8,7,Congested,Viesgo,service_area,4.638259192207148,0.0,True,core,LABARCES,1050,100000.0,CAND_00096
STAV2_0136,43.379726,-7.426508,A-8,4,Sufficient,Viesgo,upgrade,5.5804460957914355,100.0,True,core,ESTELO,600,150000.0,CAND_01109
STAV2_0137,43.522278,-5.715472,A-8,4,Congested,Viesgo,upgrade,16.243720634895148,0.0,True,core,SIERO,600,350000.0,CAND_00482
STAV2_0138,42.681726,-8.634557,AP-9,4,Congested,Viesgo,gap_midpoint,98.41335158718425,0.0,True,core,NO_SUBSTATION,600,3150000.0,CAND_02238
STAV2_0139,42.93182,-7.634305,N-540,2,Sufficient,Viesgo,upgrade,13.428311262941557,16.5,False,none,SAN_CIBRAO,300,150000.0,CAND_01309
STAV2_0140,42.952498098133326,-7.617785553874913,N-540A,2,Sufficient,Viesgo,high_imd,10.874049156593818,16.5,False,none,SAN_CIBRAO,300,300000.0,CAND_02104
STAV2_0141,43.172718,-7.766572,N-6,3,Sufficient,Viesgo,upgrade,17.778445507190927,60.0,False,none,SETE_PONTES,450,350000.0,CAND_01043
STAV2_0142,42.86685,-4.154992,N-611,2,Congested,Viesgo,upgrade,1.2257240040810087,0.66,False,none,VALDEOLEA,300,50000.0,CAND_01193
STAV2_0143,42.95059732929247,-4.138150466428296,N-611A,2,Congested,Viesgo,high_imd,4.188632355051966,0.0,False,none,REINOSA,300,200000.0,CAND_02145
STAV2_0144,43.35523134018538,-4.526377657274634,N-621A,2,Moderate,Viesgo,high_imd,3.2606311721328245,1.37,False,none,HERRERIAS,300,200000.0,CAND_02162
STAV2_0145,43.35925,-3.924742,N-623,4,Congested,Viesgo,upgrade,2.5636940148429153,0.53,True,none,RENEDO,600,50000.0,CAND_00435
STAV2_0146,43.31157200417031,-3.429462588492145,N-629,2,Congested,Viesgo,grid_friendly,2.892782340218979,0.73,False,none,UDALLA,300,150000.0,CAND_01388
STAV2_0147,43.2832094808891,-3.434277871725404,N-629A,2,Congested,Viesgo,high_imd,3.6860173005788903,0.85,False,none,RAMALES,300,200000.0,CAND_02177
STAV2_0148,43.106342,-5.817404,N-630,2,Congested,Viesgo,upgrade,0.32327181240065056,0.19,False,none,CAMPOMANES,300,50000.0,CAND_00542
STAV2_0149,43.46398142925662,-5.10428551880691,N-632,2,Moderate,Viesgo,high_imd,13.49040342640015,3.0,False,none,CANGAS,300,300000.0,CAND_02202
STAV2_0150,43.54093169321153,-6.422234068627931,N-632,2,Sufficient,Viesgo,high_imd,8.1605609912507,30.0,False,none,ALMUÑA,300,300000.0,CAND_02200
STAV2_0151,43.55027330890117,-6.322672594057074,N-632A,4,Sufficient,Viesgo,high_imd,16.251866524945374,30.0,True,none,ALMUÑA,600,500000.0,CAND_02204
STAV2_0152,43.294167,-7.670673,N-634,4,Sufficient,Viesgo,upgrade,2.271227242219255,60.0,True,none,SETE_PONTES,600,50000.0,CAND_01142
STAV2_0153,43.38865,-5.18632,N-634,4,Moderate,Viesgo,upgrade,6.63978728677201,3.0,True,none,CANGAS,600,150000.0,CAND_01047
STAV2_0154,43.4214696699233,-3.5112059687930572,N-634,4,Congested,Viesgo,grid_friendly,1.7816335140238573,0.87,True,none,AMBROSERO,600,150000.0,CAND_01374
STAV2_0155,43.534878,-6.512775,N-634,4,Sufficient,Viesgo,upgrade,0.8884377043014599,30.0,True,none,ALMUÑA,600,50000.0,CAND_00305
STAV2_0156,43.561874,-6.923124,N-634,4,Sufficient,Viesgo,upgrade,1.2965738084762424,9.43,True,none,TAPIA,600,50000.0,CAND_00141
STAV2_0157,43.41504234602095,-6.294651524586527,N-634A,2,Sufficient,Viesgo,high_imd,8.62485097223408,35.0,False,none,PICO GALLO,300,300000.0,CAND_02218
STAV2_0158,43.42935,-3.838126,N-636,4,Moderate,Viesgo,upgrade,0.9610356407251356,1.22,True,comprehensive,N_MONTAÑA,600,50000.0,CAND_00461
STAV2_0159,43.025753,-7.567155,N-640,2,Sufficient,Viesgo,upgrade,4.165997830429907,16.5,False,none,SAN_CIBRAO,300,50000.0,CAND_01228
STAV2_0160,43.53962,-7.263064,N-642,4,Sufficient,Viesgo,upgrade,14.619536680144133,68.0,True,none,MONDONEDO,600,150000.0,CAND_00574
STAV2_0161,41.59416,-3.696811,A-1,4,Congested,i-DE,upgrade,5.010251973776728,0.0,True,none,4768,600,150000.0,CAND_00368
STAV2_0162,42.340267,-3.6953535,A-1,4,Congested,i-DE,upgrade,1.2087886833221857,0.0,True,none,4757,600,50000.0,CAND_00175
STAV2_0163,42.863613,-2.660541,A-1,4,Congested,i-DE,upgrade,0.734381571710944,0.0,True,none,4650,600,50000.0,CAND_00793
STAV2_0164,41.53517866822434,-5.774164255544914,A-11,4,Sufficient,i-DE,high_imd,2.002600227102844,19.0,True,none,5248,600,200000.0,CAND_01433
STAV2_0165,41.596442942233466,-3.3546181072164334,A-11,4,Congested,i-DE,high_imd,3.221624076494057,0.0,True,none,4788,600,200000.0,CAND_01438
STAV2_0166,41.64256693221283,-3.7796666466530233,A-11R,2,Congested,i-DE,high_imd,5.6465830733622,0.0,False,none,4199,300,300000.0,CAND_01439
STAV2_0167,42.42743156744022,-2.7450586933933154,A-12,2,Congested,i-DE,high_imd,1.9736789628826317,0.0,False,none,4623,300,200000.0,CAND_01440
STAV2_0168,43.259827,-1.966318,A-15,4,Congested,i-DE,upgrade,0.0939705471859628,0.0,True,comprehensive,3009,600,50000.0,CAND_00505
STAV2_0169,39.848877,-0.5021599,A-23,4,Sufficient,i-DE,upgrade,4.565878535082923,7.91,True,comprehensive,3585,600,50000.0,CAND_00844
STAV2_0170,39.46963,-0.7078082,A-3,4,Congested,i-DE,upgrade,2.4715153582374416,0.0,True,none,3568,600,50000.0,CAND_00831
STAV2_0171,39.946594,-2.8946514,A-3,7,Congested,i-DE,upgrade,6.967368284784568,0.0,True,none,4039,1050,150000.0,CAND_00319
STAV2_0172,37.885376,-1.136602,A-30,12,Congested,i-DE,upgrade,3.554355059911456,0.0,True,comprehensive,3742,1800,50000.0,CAND_01270
STAV2_0173,38.45594,-0.783408,A-31,4,Sufficient,i-DE,upgrade,1.9198454249131467,25.55,True,comprehensive,3573,600,50000.0,CAND_00428
STAV2_0174,38.93846045856489,-1.8916543648034796,A-32,4,Congested,i-DE,high_imd,0.16402466564532583,0.0,True,comprehensive,3383,600,200000.0,CAND_01486
STAV2_0175,38.60982111550539,-1.0430535791923565,A-33,3,Sufficient,i-DE,high_imd,3.680776507587972,19.85,False,none,4054,450,200000.0,CAND_01488
STAV2_0176,38.87854,-0.754148,A-35,5,Sufficient,i-DE,upgrade,1.1483343989388952,47.78,True,none,3696,750,50000.0,CAND_01277
STAV2_0177,39.28310316661452,-0.40327591696705783,A-38,7,Sufficient,i-DE,grid_friendly,1.5536199585448525,5.1,False,none,4024,1050,150000.0,CAND_01409
STAV2_0178,39.978848,-4.268037,A-40,2,Congested,i-DE,upgrade,2.282703901862964,0.0,False,none,3628,300,50000.0,CAND_00256
STAV2_0179,39.392600348852966,-2.41080667023409,A-43,4,Congested,i-DE,service_area,2.5973920989994808,0.0,True,comprehensive,3569,600,100000.0,CAND_00084
STAV2_0180,39.88855,-5.467399,A-5,4,Congested,i-DE,upgrade,3.735367840925441,0.0,True,none,4081,600,50000.0,CAND_01327
STAV2_0181,40.82720266782806,-4.935825912655078,A-50,4,Congested,i-DE,service_area,11.996099454371137,0.0,True,comprehensive,4802,600,200000.0,CAND_00063
STAV2_0182,39.44274165649014,-6.042353516397115,A-58,2,Congested,i-DE,high_imd,13.13134287347285,0.0,False,none,3026,300,300000.0,CAND_01539
STAV2_0183,41.18201,-4.807545,A-6,4,Congested,i-DE,upgrade,1.997748944038292,0.0,True,none,4952,600,50000.0,CAND_01156
STAV2_0184,41.318146,-4.916636,A-6,4,Congested,i-DE,upgrade,1.126673847648402,0.0,True,none,3087,600,50000.0,CAND_01282
