od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
COR→HUE,3,3,0.0,1.0,100.0
SOR→TER,3,3,0.0,0.6666666666666666,100.0
VLD→OUR,3,3,0.0,1.6666666666666667,100.0
BIL→PMP,3,3,0.0,1.0,100.0
PMP→VAL,3,3,4.004175277981858,2.0,100.0
ALI→COR,3,3,0.0,2.6666666666666665,100.0
SAL→MER,3,3,0.0,2.0,100.0
GRN→ALG,3,3,0.0,1.3333333333333333,100.0
MAL→JAE,3,3,0.0,2.0,100.0
VLD→ZAR,3,3,0.0,2.6666666666666665,100.0
BUR→COR,3,2,0.0,2.6666666666666665,66.7
LEO→ZAM,3,3,0.0,0.6666666666666666,100.0
GRN→BAD,3,3,0.0,2.0,100.0
JER→HUE,3,3,0.0,1.3333333333333333,100.0
CAC→SEV,3,3,0.0,1.6666666666666667,100.0
CAS→ALB,3,3,0.0,1.3333333333333333,100.0
LEO→SAL,3,3,0.0,1.0,100.0
MUR→COR,3,3,0.0,2.6666666666666665,100.0
SEV→BAD,3,3,0.0,1.0,100.0
ALB→COR,3,3,0.0,2.3333333333333335,100.0
MUR→SEV,3,3,0.0,4.666666666666667,100.0
SEV→ALG,3,3,0.0,2.0,100.0
VAL→SOR,3,3,0.0,1.6666666666666667,100.0
GRN→JER,3,3,0.0,1.6666666666666667,100.0
STD→VLD,3,3,0.0,1.6666666666666667,100.0
SAL→MAL,3,3,0.0,3.3333333333333335,100.0
MUR→ZAR,3,3,0.0,3.6666666666666665,100.0
GIR→GUA,3,3,0.0,2.6666666666666665,100.0
BCN→SSB,3,3,0.0,3.6666666666666665,100.0
MAL→CAR,3,3,0.0,1.6666666666666667,100.0
BUR→OUR,3,3,0.0,1.3333333333333333,100.0
GIJ→VLD,3,3,0.0,1.6666666666666667,100.0
LOG→VLD,3,3,0.0,2.0,100.0
GIJ→ZAM,3,3,0.0,2.0,100.0
PON→AVL,3,3,0.0,1.6666666666666667,100.0
BCN→SOR,3,3,4.087535177613934,3.0,100.0
TAR→CRE,3,3,0.0,3.6666666666666665,100.0
BUR→MUR,3,3,0.0,3.6666666666666665,100.0
ALB→ALM,3,3,0.0,2.3333333333333335,100.0
VAL→VLD,3,3,0.0,3.6666666666666665,100.0
GIR→CAR,3,3,0.0,4.0,100.0
PON→VLD,3,3,0.0,1.0,100.0
ZAR→CUE,3,3,0.0,1.3333333333333333,100.0
SAL→ALB,3,3,0.0,3.3333333333333335,100.0
LOG→BUR,3,3,0.0,0.6666666666666666,100.0
MUR→GIR,2,2,0.0,1.5,100.0
VAL→LOG,2,2,0.0,2.5,100.0
MUR→VLD,2,2,0.0,2.5,100.0
MUR→CAS,2,2,0.0,2.0,100.0
VAL→MAL,2,2,0.0,3.5,100.0
VAL→GIR,2,2,0.0,3.5,100.0
OUR→BIL,2,2,0.0,2.0,100.0
BUR→PON,2,2,0.0,2.0,100.0
OVI→CAC,2,2,0.0,1.5,100.0
SEV→ALI,2,2,0.0,4.0,100.0
TAL→COR,2,2,0.0,1.0,100.0
BIL→VIG,2,2,0.0,2.5,100.0
BAD→MAD,2,2,0.0,2.5,100.0
BIL→VAL,2,2,0.0,5.0,100.0
